INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
212006163,3207,,PROPERTY - FOUND,D4,144,0,2021-01-29 01:13:00,2021,1,Friday,1,,"MASSACHUSETTS AVE & SAINT STEPHEN ST
BOSTON  MA 02",42.3433580016398,-71.0857690058668,"(42.3433580016398, -71.0857690058668)"
212001424,3007,,SUDDEN DEATH,E5,667,0,2021-01-07 13:15:00,2021,1,Thursday,13,,ARBOROUGH RD,42.2898061915118,-71.1281504013872,"(42.2898061915118, -71.1281504013872)"
212000916,3207,,PROPERTY - FOUND,E5,691,0,2021-01-05 10:15:00,2021,1,Tuesday,10,,CENTRE ST,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
212008702,2662,,BALLISTICS EVIDENCE/FOUND,D4,143,0,2021-02-09 15:13:00,2021,2,Tuesday,15,,BOYLSTON ST,42.348623815555,-71.0827763708641,"(42.348623815555, -71.0827763708641)"
212005197,3005,,SICK ASSIST,B3,426,0,2021-01-24 18:02:00,2021,1,Sunday,18,,RIVER ST,42.2695668929891,-71.0907504926637,"(42.2695668929891, -71.0907504926637)"
212026062,2647,,THREATS TO DO BODILY HARM,B2,604,0,2021-04-22 12:00:00,2021,4,Thursday,12,,HILLSIDE ST,42.330916264922,-71.1047582274814,"(42.330916264922, -71.1047582274814)"
212012527,616,,LARCENY THEFT OF BICYCLE,D4,282,0,2021-02-26 00:11:00,2021,2,Friday,0,,WESTLAND AVE,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212006620,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B2,239,0,2021-01-31 08:39:00,2021,1,Sunday,8,,"COLUMBIA RD & DUDLEY ST
DORCHESTER  MA 02125
UNITE",42.3170529821066,-71.0652140008863,"(42.3170529821066, -71.0652140008863)"
212003720,2610,,TRESPASSING,C6,214,0,2021-01-17 20:20:00,2021,1,Sunday,20,,E ST,42.3369466492091,-71.0502973226386,"(42.3369466492091, -71.0502973226386)"
212022973,1832,,SICK ASSIST - DRUG RELATED ILLNESS,E13,572,0,2021-04-10 04:47:00,2021,4,Saturday,4,,SCHOOL ST,42.3128445904242,-71.0967680557082,"(42.3128445904242, -71.0967680557082)"
212029348,3114,,INVESTIGATE PROPERTY,A7,29,0,2021-05-06 09:04:00,2021,5,Thursday,9,,MAVERICK ST,42.3695069711984,-71.0374722203314,"(42.3695069711984, -71.0374722203314)"
212021799,1102,,FRAUD - FALSE PRETENSE / SCHEME,B2,355,0,2021-03-24 00:00:00,2021,3,Wednesday,0,,OLDFIELDS RD,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212040193,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C11,257,0,2021-06-15 14:37:00,2021,6,Tuesday,14,,HANCOCK ST,42.3104339974624,-71.0613400976213,"(42.3104339974624, -71.0613400976213)"
212018133,3801,,M/V ACCIDENT - OTHER,B3,566,0,2021-03-21 20:55:00,2021,3,Sunday,20,,"BLUE HILL AVE & COLUMBIA RD
DORCHESTER  MA 02121
U",42.3033909874401,-71.0852719820049,"(42.3033909874401, -71.0852719820049)"
212025043,3801,,M/V ACCIDENT - OTHER,D14,807,0,2021-04-18 18:13:00,2021,4,Sunday,18,,WESTERN AVE,42.3628417249924,-71.1379223355441,"(42.3628417249924, -71.1379223355441)"
212032024,3005,,SICK ASSIST,D4,145,0,2021-05-16 16:46:00,2021,5,Sunday,16,,MASSACHUSETTS AVE,42.3419478819786,-71.0836247862163,"(42.3419478819786, -71.0836247862163)"
212042674,3115,,INVESTIGATE PERSON,B3, ,0,2021-06-23 21:51:00,2021,6,Wednesday,21,,"SPENCER ST & ASPINWALL RD
DORCHESTER  MA 02124
UNI",42.2911470036729,-71.0751510215949,"(42.2911470036729, -71.0751510215949)"
212025078,3005,,SICK ASSIST,B3,429,0,2021-04-18 20:56:00,2021,4,Sunday,20,,WINSTON RD,42.2850880872322,-71.0878946233987,"(42.2850880872322, -71.0878946233987)"
212015779,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,E13,579,0,2021-03-12 11:07:00,2021,3,Friday,11,,ARMSTRONG,0.0,0.0,"(0, 0)"
212003360,3115,,INVESTIGATE PERSON,A1,111,0,2021-01-15 21:00:00,2021,1,Friday,21,,"BOYLSTON ST & WASHINGTON ST
BOSTON  MA 02116
UNITE",42.3523730173618,-71.0626090463275,"(42.3523730173618, -71.0626090463275)"
212029128,3005,,SICK ASSIST,D4,271,0,2021-05-05 11:36:00,2021,5,Wednesday,11,,HARRISON AVE,42.3340182895851,-71.0763812393086,"(42.3340182895851, -71.0763812393086)"
212019619,3005,,SICK ASSIST,C6,186,0,2021-03-27 15:21:00,2021,3,Saturday,15,,JAN KARSKI WAY,0.0,0.0,"(0, 0)"
212009809,3114,,INVESTIGATE PROPERTY,D4,617,0,2021-02-14 11:08:00,2021,2,Sunday,11,,HUNTINGTON AVE,42.3379226610135,-71.0952659758923,"(42.3379226610135, -71.0952659758923)"
212029415,3301,,VERBAL DISPUTE,B3,435,0,2021-05-06 13:44:00,2021,5,Thursday,13,,ARMANDINE ST,42.2843148582015,-71.074108382081,"(42.2843148582015, -71.074108382081)"
212016977,1402,,VANDALISM,A7,28,0,2021-03-16 19:00:00,2021,3,Tuesday,19,,CHELSEA ST,42.3717226580267,-71.0366554935452,"(42.3717226580267, -71.0366554935452)"
212004337,3115,,INVESTIGATE PERSON,B3,444,0,2021-01-20 18:17:00,2021,1,Wednesday,18,,BLUE HILL AVE,42.2957638038155,-71.0875600191673,"(42.2957638038155, -71.0875600191673)"
212043304,3201,,PROPERTY - LOST/ MISSING,A1,77,0,2021-06-25 22:00:00,2021,6,Friday,22,,NEW SUDBURY ST,42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212017730,3005,,SICK ASSIST,C6,233,0,2021-03-20 06:07:00,2021,3,Saturday,6,,BREWSTER ST,42.3317985373467,-71.0404218635867,"(42.3317985373467, -71.0404218635867)"
212005566,735,,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,257,0,2021-01-26 14:36:00,2021,1,Tuesday,14,,HANCOCK ST,42.3104339974624,-71.0613400976213,"(42.3104339974624, -71.0613400976213)"
212007967,801,,ASSAULT - SIMPLE,A1,93,0,2021-02-05 23:32:00,2021,2,Friday,23,,UNION ST,42.3606878699102,-71.0568729337081,"(42.3606878699102, -71.0568729337081)"
212002945,2670,,HARASSMENT/ CRIMINAL HARASSMENT,D4,167,0,2021-01-13 10:08:00,2021,1,Wednesday,10,,W SPRINGFIELD ST,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212011659,3301,,VERBAL DISPUTE,E13,579,0,2021-02-22 19:38:00,2021,2,Monday,19,,CENTRE ST,42.32283758703,-71.1009672251263,"(42.32283758703, -71.1009672251263)"
212031990,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,358,0,2021-05-16 14:50:00,2021,5,Sunday,14,,MARLOWE ST,42.2981863818934,-71.0640282434581,"(42.2981863818934, -71.0640282434581)"
212003224,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,167,0,2021-01-15 13:08:00,2021,1,Friday,13,,HUNTINGTON AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212021157,2905,,VAL - VIOLATION OF AUTO LAW,A1,101,0,2021-04-02 19:11:00,2021,4,Friday,19,,BROAD ST,42.3582447901618,-71.0541535621725,"(42.3582447901618, -71.0541535621725)"
212024648,3006,,SICK/INJURED/MEDICAL - PERSON,C11,370,0,2021-04-16 19:21:00,2021,4,Friday,19,,WILLIAM T MORRISSEY BLVD,42.2950716588055,-71.0474970887394,"(42.2950716588055, -71.0474970887394)"
212010120,2914,,VAL - OPERATING W/O AUTHORIZATION LAWFUL,External,282,0,2021-02-15 15:00:00,2021,2,Monday,15,,MASSACHUSETTS AVE,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212043536,3801,,M/V ACCIDENT - OTHER,B3, ,0,2021-06-26 22:43:00,2021,6,Saturday,22,,DUNBAR AVE,42.2864606258769,-71.0726858663884,"(42.2864606258769, -71.0726858663884)"
212017709,3114,,INVESTIGATE PROPERTY,E18,496,0,2021-03-20 01:30:00,2021,3,Saturday,1,,HYDE PARK AVE,42.2692238817935,-71.1208534731586,"(42.2692238817935, -71.1208534731586)"
212036826,724,,AUTO THEFT,D14,778,0,2021-06-03 01:00:00,2021,6,Thursday,1,,WASHINGTON ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
212028090,3115,,INVESTIGATE PERSON,B3,428,0,2021-04-30 00:00:00,2021,4,Friday,0,,WOOLSON ST,42.2808121259972,-71.0885576960683,"(42.2808121259972, -71.0885576960683)"
212010747,3502,,MISSING PERSON - LOCATED,B3,448,0,2021-02-18 15:00:00,2021,2,Thursday,15,,MILLET ST,42.2936874796953,-71.0769242185875,"(42.2936874796953, -71.0769242185875)"
212031751,3201,,PROPERTY - LOST/ MISSING,D4,167,0,2021-05-15 13:55:00,2021,5,Saturday,13,,HARRISON AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212028783,3201,,PROPERTY - LOST/ MISSING,B3,465,0,2021-05-03 20:34:00,2021,5,Monday,20,,BLUE HILL AVENUE,0.0,0.0,"(0, 0)"
20021670,613,,LARCENY SHOPLIFTING,D4,270,0,2021-05-07 17:02:00,2021,5,Friday,17,,HARRISON AVENUE,0.0,0.0,"(0, 0)"
212027616,3005,,SICK ASSIST,E18,951,0,2021-04-28 22:48:00,2021,4,Wednesday,22,,RIVER ST,42.2636174451712,-71.1023738694173,"(42.2636174451712, -71.1023738694173)"
212028454,3115,,INVESTIGATE PERSON,A1,355,0,2021-05-02 16:00:00,2021,5,Sunday,16,,GIBSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212208502,2647,,THREATS TO DO BODILY HARM,C11,282,0,2021-02-08 15:00:00,2021,2,Monday,15,,BOWDOIN ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212005961,3801,,M/V ACCIDENT - OTHER,E5,705,0,2021-01-28 09:07:00,2021,1,Thursday,9,,"LAGRANGE ST & PARTRIDGE ST
WEST ROXBURY  MA 02132
",42.2748980025046,-71.1454820340032,"(42.2748980025046, -71.1454820340032)"
212037128,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,167,0,2021-06-04 14:03:00,2021,6,Friday,14,,HARRISON AVE,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
212023598,3301,,VERBAL DISPUTE,B2,904,0,2021-04-12 17:17:00,2021,4,Monday,17,,EUSTIS ST,42.3294630316651,-71.0792282215699,"(42.3294630316651, -71.0792282215699)"
212004084,3007,,SUDDEN DEATH,E18,498,0,2021-01-19 15:11:00,2021,1,Tuesday,15,,NAVARRE ST,42.2745807832508,-71.1176650199291,"(42.2745807832508, -71.1176650199291)"
212006450,3801,,M/V ACCIDENT - OTHER,A15,50,0,2021-01-30 13:22:00,2021,1,Saturday,13,,"BEACHAM ST & MAFFA WAY
CHARLESTOWN  MA 02129
UNITE",42.3847090156589,-71.0752919673255,"(42.3847090156589, -71.0752919673255)"
212020402,3005,,SICK ASSIST,C6,220,0,2021-03-30 21:33:00,2021,3,Tuesday,21,,GATES ST,42.3335701959319,-71.0482645594811,"(42.3335701959319, -71.0482645594811)"
212023063,613,,LARCENY SHOPLIFTING,D4,141,0,2021-04-10 15:15:00,2021,4,Saturday,15,,NEWBURY ST,42.3484057624732,-71.0868833874023,"(42.3484057624732, -71.0868833874023)"
212011629,3410,,TOWED MOTOR VEHICLE,B3,411,0,2021-02-22 16:58:00,2021,2,Monday,16,,FREELAND ST,42.2754190897718,-71.0793787513466,"(42.2754190897718, -71.0793787513466)"
212010768,1402,,VANDALISM,A1,107,0,2021-02-18 16:31:00,2021,2,Thursday,16,,DEVONSHIRE ST,42.3560931963323,-71.0573415142196,"(42.3560931963323, -71.0573415142196)"
212011336,3115,,INVESTIGATE PERSON,A15,900,0,2021-02-21 11:43:00,2021,2,Sunday,11,,MEDFORD ST,42.3794405109452,-71.0584151117675,"(42.3794405109452, -71.0584151117675)"
212000507,3004,,INJURY BICYCLE NO M/V INVOLVED,E13,644,0,2021-01-03 10:56:00,2021,1,Sunday,10,,CENTRE ST,42.3088432672111,-71.1193520166312,"(42.3088432672111, -71.1193520166312)"
212030609,423,,ASSAULT - AGGRAVATED,C11,333,0,2021-05-10 21:41:00,2021,5,Monday,21,,STANLEY ST,42.3094258458125,-71.0695654902897,"(42.3094258458125, -71.0695654902897)"
212042588,3114,,INVESTIGATE PROPERTY,C11,257,0,2021-06-23 17:45:00,2021,6,Wednesday,17,,HANCOCK ST,42.3104339974624,-71.0613400976213,"(42.3104339974624, -71.0613400976213)"
212041699,3115,,INVESTIGATE PERSON,E5,691,0,2021-06-18 17:30:00,2021,6,Friday,17,,CENTRE ST,42.2870935525911,-71.1482212837716,"(42.2870935525911, -71.1482212837716)"
212006746,3301,,VERBAL DISPUTE,B3,428,0,2021-01-31 21:33:00,2021,1,Sunday,21,,WOOLSON ST,42.2808121259972,-71.0885576960683,"(42.2808121259972, -71.0885576960683)"
212031496,801,,ASSAULT - SIMPLE,D4,161,0,2021-05-14 14:25:00,2021,5,Friday,14,,,42.345274017863,-71.0698359943193,"(42.345274017863, -71.0698359943193)"
212029442,3006,,SICK/INJURED/MEDICAL - PERSON,A1,126,0,2021-05-06 14:26:00,2021,5,Thursday,14,,FAYETTE ST,42.3492908178518,-71.0667676544266,"(42.3492908178518, -71.0667676544266)"
212018762,3410,,TOWED MOTOR VEHICLE,E13,583,0,2021-03-24 11:04:00,2021,3,Wednesday,11,,ROUND HILL ST,42.3246916922455,-71.1061892386513,"(42.3246916922455, -71.1061892386513)"
212004573,3207,,PROPERTY - FOUND,D14,798,0,2021-01-21 20:39:00,2021,1,Thursday,20,,"GARDNER ST & MALVERN ST
BRIGHTON  MA 02215
UNITED ",42.3533609845434,-71.1249440261694,"(42.3533609845434, -71.1249440261694)"
212000670,3301,,VERBAL DISPUTE,D4,962,0,2021-01-04 07:35:00,2021,1,Monday,7,,W DEDHAM ST,42.3418676497537,-71.0727221472381,"(42.3418676497537, -71.0727221472381)"
212027163,617,,LARCENY THEFT FROM BUILDING,E18,520,0,2021-04-26 21:00:00,2021,4,Monday,21,,AMERICAN LEGION HWY,42.2562159204022,-71.1240194732902,"(42.2562159204022, -71.1240194732902)"
212039924,3801,,M/V ACCIDENT - OTHER,D4,129,0,2021-06-14 17:08:00,2021,6,Monday,17,,BOYLSTON ST,42.3515707556266,-71.0718659907746,"(42.3515707556266, -71.0718659907746)"
212000642,1832,,SICK ASSIST - DRUG RELATED ILLNESS,E18,951,0,2021-01-03 22:15:00,2021,1,Sunday,22,,RIVER ST,42.2636174451712,-71.1023738694173,"(42.2636174451712, -71.1023738694173)"
212035979,2907,,VAL - OPERATING AFTER REV/SUSP.,E13,581,0,2021-05-31 07:55:00,2021,5,Monday,7,,CENTRE ST,42.3229140626342,-71.1032840205967,"(42.3229140626342, -71.1032840205967)"
212007873,3304,,NOISY PARTY/RADIO-NO ARREST,D14,938,0,2021-02-05 16:15:00,2021,2,Friday,16,,FIDELIS WAY,42.3453166442156,-71.1429807770167,"(42.3453166442156, -71.1429807770167)"
212038517,3114,,INVESTIGATE PROPERTY,D4,168,0,2021-06-09 11:23:00,2021,6,Wednesday,11,,FATHER FRANCIS J GILDAY ST,42.3376082752263,-71.0733387898862,"(42.3376082752263, -71.0733387898862)"
212002188,3108,,FIRE REPORT,D4, ,0,2021-01-10 22:02:00,2021,1,Sunday,22,,BEACON ST,42.35335717359,-71.080177034247,"(42.35335717359, -71.080177034247)"
212027613,3005,,SICK ASSIST,D14,749,0,2021-04-28 22:34:00,2021,4,Wednesday,22,,COMMONWEALTH AVE,42.3397351345223,-71.1587261947297,"(42.3397351345223, -71.1587261947297)"
212040664,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,A1, ,0,2021-06-17 01:00:00,2021,6,Thursday,1,,"ESSEX ST & WASHINGTON ST
BOSTON  MA 02116
UNITED S",42.3523730173618,-71.0626090463275,"(42.3523730173618, -71.0626090463275)"
212032401,3114,,INVESTIGATE PROPERTY,B3,410,1,2021-05-17 20:57:00,2021,5,Monday,20,,,42.2733530293135,-71.0755889400893,"(42.2733530293135, -71.0755889400893)"
212019052,3115,,INVESTIGATE PERSON,B3,565,0,2021-03-25 13:33:00,2021,3,Thursday,13,,W MAIN ST,42.2879049265372,-71.0950742563555,"(42.2879049265372, -71.0950742563555)"
212041609,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,2021-06-19 20:00:00,2021,6,Saturday,20,,GIBSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212007213,3301,,VERBAL DISPUTE,C11,350,0,2021-02-03 05:03:00,2021,2,Wednesday,5,,LEONARD ST,42.3020089769506,-71.0569681421021,"(42.3020089769506, -71.0569681421021)"
212024081,3005,,SICK ASSIST,E18,536,0,2021-04-14 14:02:00,2021,4,Wednesday,14,,LEIGHTON RD,42.2524401211307,-71.143076627242,"(42.2524401211307, -71.143076627242)"
212012724,540,,BURGLARY - COMMERICAL,D4, ,0,2021-02-27 08:11:00,2021,2,Saturday,8,,E LENOX ST,42.3343738410124,-71.0779318799532,"(42.3343738410124, -71.0779318799532)"
212009194,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C6,221,0,2021-02-11 18:16:00,2021,2,Thursday,18,,H ST,42.3367989985761,-71.0415897893037,"(42.3367989985761, -71.0415897893037)"
212021906,3115,,INVESTIGATE PERSON,A7,10,0,2021-04-05 23:50:00,2021,4,Monday,23,,LEYDEN ST,42.3896978620682,-71.0095709507605,"(42.3896978620682, -71.0095709507605)"
212015700,3115,,INVESTIGATE PERSON,D4,619,0,2021-03-11 22:23:00,2021,3,Thursday,22,,BURBANK ST,42.3444740854188,-71.0888932603075,"(42.3444740854188, -71.0888932603075)"
212011823,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,282,0,2021-02-23 15:52:00,2021,2,Tuesday,15,,WASHINGTON ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212019197,3115,,INVESTIGATE PERSON,C6,200,0,2021-03-25 22:53:00,2021,3,Thursday,22,,W BROADWAY,42.3409691358176,-71.0541872337351,"(42.3409691358176, -71.0541872337351)"
212014476,3114,,INVESTIGATE PROPERTY,C11,342,0,2021-03-06 21:14:00,2021,3,Saturday,21,,TOPLIFF ST,42.3044350229289,-71.0686290687263,"(42.3044350229289, -71.0686290687263)"
212032340,1810,,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,C6,175,0,2021-05-17 18:46:00,2021,5,Monday,18,,,42.331897957787,-71.0690820419121,"(42.331897957787, -71.0690820419121)"
212034961,3007,,SUDDEN DEATH,D4,626,0,2021-05-27 06:03:00,2021,5,Thursday,6,,PARK DR,42.3416035655498,-71.0977175029356,"(42.3416035655498, -71.0977175029356)"
212037651,3006,,SICK/INJURED/MEDICAL - PERSON,E5,910,0,2021-06-06 09:33:00,2021,6,Sunday,9,,BEECH ST,42.2771780674756,-71.1352259895989,"(42.2771780674756, -71.1352259895989)"
212011707,1501,,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,A1, ,0,2021-02-23 00:20:00,2021,2,Tuesday,0,,HARRISON AVE EXT,0.0,0.0,"(0, 0)"
212006246,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,405,0,2021-01-29 13:39:00,2021,1,Friday,13,,WASHINGTON ST,42.2741914462466,-71.0700366765985,"(42.2741914462466, -71.0700366765985)"
212034615,3301,,VERBAL DISPUTE,E18,481,0,2021-05-26 00:28:00,2021,5,Wednesday,0,,ROSEWOOD ST,42.2676132009795,-71.0984867559302,"(42.2676132009795, -71.0984867559302)"
212019900,3802,,M/V ACCIDENT - PROPERTY DAMAGE,B3,406,0,2021-03-28 20:21:00,2021,3,Sunday,20,,RIVER ST,42.271330052757,-71.0829986502208,"(42.271330052757, -71.0829986502208)"
212004018,3005,,SICK ASSIST,A7,26,0,2021-01-19 10:14:00,2021,1,Tuesday,10,,BORDER ST,42.3738275516213,-71.0405245854353,"(42.3738275516213, -71.0405245854353)"
212019380,801,,ASSAULT - SIMPLE,C11,340,0,2021-03-26 17:20:00,2021,3,Friday,17,,MOUNT IDA RD,42.3062909043061,-71.0651249664303,"(42.3062909043061, -71.0651249664303)"
212005268,3820,,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,D4, ,0,2021-01-25 08:32:00,2021,1,Monday,8,,"TREMONT ST & HERALD ST
BOSTON  MA 02116
UNITED STA",42.3474900412165,-71.0685980351817,"(42.3474900412165, -71.0685980351817)"
212035469,724,,AUTO THEFT,C11, ,0,2021-05-28 19:45:00,2021,5,Friday,19,,,42.2980900256591,-71.0624799982869,"(42.2980900256591, -71.0624799982869)"
212021258,3807,,M/V ACCIDENT - OTHER CITY VEHICLE,D4, ,0,2021-04-03 09:44:00,2021,4,Saturday,9,,IPSWICH ST,42.3475047167289,-71.0934647030243,"(42.3475047167289, -71.0934647030243)"
212041588,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,355,0,2021-06-19 16:30:00,2021,6,Saturday,16,,GIBSON ST,42.2975553295965,-71.0597091024257,"(42.2975553295965, -71.0597091024257)"
212003091,3207,,PROPERTY - FOUND,D14,778,0,2021-01-14 20:10:00,2021,1,Thursday,20,,WASHINGTON ST,42.3490560003051,-71.1504984997502,"(42.3490560003051, -71.1504984997502)"
212024390,3005,,SICK ASSIST,A7,23,0,2021-04-15 15:59:00,2021,4,Thursday,15,,PRINCETON ST,42.3776599947373,-71.0356019803727,"(42.3776599947373, -71.0356019803727)"
212032799,3803,,M/V ACCIDENT - PERSONAL INJURY,C11,247,0,2021-05-19 10:02:00,2021,5,Wednesday,10,,,42.3146239603104,-71.0600290488188,"(42.3146239603104, -71.0600290488188)"
212022138,3006,,SICK/INJURED/MEDICAL - PERSON,,680,0,2021-04-06 19:43:00,2021,4,Tuesday,19,,COHASSET ST,42.2850391968136,-71.130930783382,"(42.2850391968136, -71.130930783382)"
